Zeit                    	USER1           
               0        	           3,785
            0,01        	           3,505
            0,02        	            3,11
            0,03        	            3,33
            0,04        	            3,13
            0,05        	            3,17
            0,06        	            3,51
            0,07        	           3,565
            0,08        	           3,535
            0,09        	           3,335
             0,1        	            3,16
            0,11        	             2,8
            0,12        	            2,35
            0,13        	            2,32
            0,14        	           2,715
            0,15        	             2,7
            0,16        	            3,53
            0,17        	            2,93
            0,18        	           2,815
            0,19        	           2,765
             0,2        	           2,595
            0,21        	           2,345
            0,22        	            2,25
            0,23        	            2,76
            0,24        	           2,875
            0,25        	            2,95
            0,26        	           3,215
            0,27        	           2,315
            0,28        	            1,96
            0,29        	           1,985
             0,3        	            2,57
            0,31        	           2,715
            0,32        	           3,175
            0,33        	           1,995
            0,34        	           2,225
            0,35        	             2,8
            0,36        	            3,04
            0,37        	            2,03
            0,38        	            2,58
            0,39        	           2,795
             0,4        	            3,18
            0,41        	            2,33
            0,42        	            2,08
            0,43        	           2,465
            0,44        	            2,14
            0,45        	           1,745
            0,46        	           2,145
            0,47        	           1,925
            0,48        	            2,38
            0,49        	            2,83
             0,5        	            2,14
            0,51        	            2,09
            0,52        	           2,525
            0,53        	           1,645
            0,54        	            2,66
            0,55        	            2,13
            0,56        	           1,695
            0,57        	           2,635
            0,58        	            2,08
            0,59        	           1,925
             0,6        	            1,47
            0,61        	           2,225
            0,62        	            2,75
            0,63        	            1,88
            0,64        	           1,455
            0,65        	            2,22
            0,66        	            2,71
            0,67        	           2,135
            0,68        	           1,725
            0,69        	            1,86
             0,7        	            2,02
            0,71        	           2,655
            0,72        	           1,885
            0,73        	            2,11
            0,74        	             1,6
            0,75        	           2,785
            0,76        	           1,835
            0,77        	           2,295
            0,78        	           2,485
            0,79        	           2,215
             0,8        	            2,22
            0,81        	            2,09
            0,82        	           1,305
            0,83        	            2,56
            0,84        	           2,195
            0,85        	           1,725
            0,86        	           1,995
            0,87        	            1,87
            0,88        	            2,16
            0,89        	            2,05
             0,9        	           1,385
            0,91        	            2,17
            0,92        	            1,82
            0,93        	           1,745
            0,94        	            2,55
            0,95        	           1,845
            0,96        	            1,67
            0,97        	            1,49
            0,98        	            1,99
            0,99        	             2,1
               1        	           2,615
            1,01        	            2,35
            1,02        	            2,04
            1,03        	           1,715
            1,04        	            1,35
            1,05        	           1,565
            1,06        	            2,14
            1,07        	            2,55
            1,08        	            2,31
            1,09        	             1,9
             1,1        	            1,36
            1,11        	             1,6
            1,12        	           2,225
            1,13        	            2,72
