Zeit                    ,USER1           
               0        ,             2.9
            0.01        ,             2.6
            0.02        ,           2.555
            0.03        ,           2.665
            0.04        ,            2.92
            0.05        ,           3.135
            0.06        ,            2.93
            0.07        ,             2.8
            0.08        ,            2.79
            0.09        ,           2.685
             0.1        ,           2.765
            0.11        ,            2.54
            0.12        ,           2.825
            0.13        ,             2.9
            0.14        ,            3.04
            0.15        ,            2.41
            0.16        ,           2.815
            0.17        ,            2.65
            0.18        ,           2.605
            0.19        ,            2.56
             0.2        ,           2.735
            0.21        ,            2.77
            0.22        ,            3.02
            0.23        ,            3.26
            0.24        ,            3.37
            0.25        ,           3.145
            0.26        ,           3.035
            0.27        ,            2.83
            0.28        ,            3.13
            0.29        ,           2.945
             0.3        ,            3.14
            0.31        ,            3.54
            0.32        ,            2.91
            0.33        ,             3.2
            0.34        ,            3.29
            0.35        ,           3.445
            0.36        ,               3
            0.37        ,            2.97
            0.38        ,            3.36
            0.39        ,           3.485
             0.4        ,            3.34
            0.41        ,           2.645
            0.42        ,             2.7
            0.43        ,           3.235
            0.44        ,            2.59
            0.45        ,           3.025
            0.46        ,            3.03
            0.47        ,            3.17
            0.48        ,           3.615
            0.49        ,            3.11
             0.5        ,           2.655
            0.51        ,           3.245
            0.52        ,           3.415
            0.53        ,            3.14
            0.54        ,            3.29
            0.55        ,           2.785
            0.56        ,           2.965
            0.57        ,            2.95
            0.58        ,           2.655
            0.59        ,           3.235
             0.6        ,            3.19
            0.61        ,           3.665
            0.62        ,           3.205
            0.63        ,           2.735
            0.64        ,           3.145
            0.65        ,            3.54
            0.66        ,           3.315
            0.67        ,            2.83
            0.68        ,             3.2
            0.69        ,           3.085
             0.7        ,            3.36
            0.71        ,            3.28
            0.72        ,           3.305
            0.73        ,           2.945
            0.74        ,            3.36
            0.75        ,             3.2
            0.76        ,           2.905
            0.77        ,           3.525
            0.78        ,            3.07
            0.79        ,             3.5
             0.8        ,           3.165
            0.81        ,           3.645
            0.82        ,            3.08
            0.83        ,            3.27
            0.84        ,           3.155
            0.85        ,            3.03
            0.86        ,             3.5
            0.87        ,            2.87
            0.88        ,             3.2
            0.89        ,            2.91
             0.9        ,            3.12
            0.91        ,            3.71
            0.92        ,            2.94
            0.93        ,           3.345
            0.94        ,           3.305
            0.95        ,           2.835
            0.96        ,           3.045
            0.97        ,            3.15
            0.98        ,           3.475
            0.99        ,           3.365
               1        ,            3.07
            1.01        ,           3.085
            1.02        ,            2.63
            1.03        ,           2.915
            1.04        ,            3.24
            1.05        ,            3.04
            1.06        ,           3.575
            1.07        ,           3.105
            1.08        ,            2.98
            1.09        ,             2.6
             1.1        ,           3.005
            1.11        ,           3.155
            1.12        ,           3.435
            1.13        ,           3.135
            1.14        ,           2.725
            1.15        ,            3.03
            1.16        ,           3.155
            1.17        ,           3.595
            1.18        ,            3.16
            1.19        ,           2.965
             1.2        ,            2.54
            1.21        ,           3.025
            1.22        ,            3.34
            1.23        ,            3.41
            1.24        ,           3.245
            1.25        ,           2.805
            1.26        ,            2.67
            1.27        ,           2.865
            1.28        ,            3.04
            1.29        ,             3.2
             1.3        ,            3.02
            1.31        ,           2.965
            1.32        ,            2.69
            1.33        ,           2.485
            1.34        ,            2.83
            1.35        ,           3.255
            1.36        ,            3.43
            1.37        ,           3.025
            1.38        ,           2.815
            1.39        ,             2.4
             1.4        ,           2.915
            1.41        ,            3.23
            1.42        ,             3.1
            1.43        ,           2.925
            1.44        ,            2.45
            1.45        ,            2.93
            1.46        ,            3.24
            1.47        ,           2.925
            1.48        ,            3.03
            1.49        ,            2.41
             1.5        ,           2.695
            1.51        ,           3.345
            1.52        ,            2.79
            1.53        ,            2.82
            1.54        ,            2.48
            1.55        ,           2.705
            1.56        ,           3.145
            1.57        ,            2.44
            1.58        ,            3.31
            1.59        ,            2.63
             1.6        ,            2.93
            1.61        ,            2.74
            1.62        ,            2.76
            1.63        ,            2.67
            1.64        ,            2.55
            1.65        ,           2.875
            1.66        ,           2.525
            1.67        ,           2.995
            1.68        ,           2.835
            1.69        ,           2.655
             1.7        ,            2.67
            1.71        ,            2.43
            1.72        ,            3.07
            1.73        ,            2.41
            1.74        ,            2.76
            1.75        ,            2.63
            1.76        ,           2.475
            1.77        ,            2.81
            1.78        ,           2.335
            1.79        ,            2.94
             1.8        ,           2.105
            1.81        ,           2.955
            1.82        ,            2.59
            1.83        ,           2.675
            1.84        ,           2.685
            1.85        ,             2.4
            1.86        ,           2.915
            1.87        ,            2.21
            1.88        ,            2.57
