Zeit                    	USER1           
               0        	            3,01
             0,1        	           2,745
             0,2        	           2,775
             0,3        	             2,8
             0,4        	            2,95
             0,5        	           2,825
             0,6        	            2,73
             0,7        	            2,85
             0,8        	           2,795
             0,9        	           2,925
               1        	           2,915
             1,1        	            2,94
             1,2        	           2,845
             1,3        	            2,76
             1,4        	            2,89
             1,5        	           2,815
             1,6        	           2,845
             1,7        	            2,91
             1,8        	           2,845
             1,9        	           2,835
               2        	            3,01
             2,1        	           2,855
             2,2        	            2,91
             2,3        	            2,81
             2,4        	           2,865
             2,5        	             2,9
             2,6        	            2,87
             2,7        	            2,85
             2,8        	           2,925
             2,9        	            2,87
               3        	           2,845
             3,1        	            2,87
             3,2        	            2,92
             3,3        	            2,86
             3,4        	            2,85
             3,5        	           2,915
             3,6        	           2,865
             3,7        	            2,91
             3,8        	           2,895
             3,9        	           2,955
               4        	           2,905
             4,1        	            2,91
             4,2        	           2,815
             4,3        	            2,97
             4,4        	            3,03
             4,5        	           2,995
             4,6        	           2,995
             4,7        	           2,935
             4,8        	           2,895
             4,9        	           3,115
               5        	           3,135
             5,1        	           3,005
             5,2        	            2,99
             5,3        	           2,985
             5,4        	           3,065
             5,5        	            3,06
             5,6        	           3,125
             5,7        	            3,08
             5,8        	           3,055
             5,9        	               3
               6        	           3,045
             6,1        	            3,01
             6,2        	           3,035
             6,3        	            3,12
             6,4        	            3,05
             6,5        	            3,11
             6,6        	            3,05
             6,7        	            3,01
             6,8        	            3,09
             6,9        	           3,045
               7        	            3,04
             7,1        	            3,08
             7,2        	           3,025
             7,3        	            3,09
             7,4        	            3,04
             7,5        	             3,1
             7,6        	           2,975
             7,7        	           3,165
             7,8        	            3,16
             7,9        	           3,265
               8        	           3,165
             8,1        	            3,13
             8,2        	            3,13
             8,3        	           3,075
             8,4        	           3,105
             8,5        	           3,075
             8,6        	            3,14
             8,7        	           3,135
             8,8        	            3,16
             8,9        	           3,145
               9        	           3,125
             9,1        	           3,185
             9,2        	           3,155
             9,3        	           3,115
             9,4        	           3,125
             9,5        	            3,16
