Zeit                    ,USER1           
               0        ,            3.09
            0.02        ,           2.675
            0.04        ,            2.87
            0.06        ,            3.03
            0.08        ,           2.785
             0.1        ,             2.7
            0.12        ,           2.695
            0.14        ,            2.69
            0.16        ,           3.105
            0.18        ,           2.935
             0.2        ,            3.15
            0.22        ,            3.22
            0.24        ,            3.38
            0.26        ,           3.535
            0.28        ,            3.52
             0.3        ,            3.44
            0.32        ,           3.265
            0.34        ,           3.055
            0.36        ,            2.89
            0.38        ,           2.765
             0.4        ,            2.67
            0.42        ,            2.32
            0.44        ,            2.71
            0.46        ,           2.925
            0.48        ,            2.97
             0.5        ,            3.22
            0.52        ,            3.58
            0.54        ,            3.52
            0.56        ,           2.925
            0.58        ,            2.67
             0.6        ,           2.375
            0.62        ,           2.685
            0.64        ,           3.065
            0.66        ,            3.31
            0.68        ,            3.52
             0.7        ,            3.11
            0.72        ,            2.81
            0.74        ,           2.425
            0.76        ,           2.845
            0.78        ,            3.16
             0.8        ,           3.285
            0.82        ,            3.56
            0.84        ,           2.905
            0.86        ,           2.645
            0.88        ,            2.28
             0.9        ,           2.815
            0.92        ,            3.19
            0.94        ,            3.59
            0.96        ,             2.9
            0.98        ,            2.35
               1        ,            2.59
            1.02        ,            2.51
            1.04        ,           3.185
            1.06        ,           3.545
            1.08        ,            2.98
             1.1        ,           2.695
            1.12        ,           2.565
            1.14        ,            3.17
            1.16        ,            3.31
            1.18        ,           2.705
             1.2        ,           2.285
            1.22        ,            2.94
            1.24        ,            3.16
            1.26        ,             3.6
            1.28        ,             2.9
             1.3        ,             2.3
            1.32        ,           2.865
            1.34        ,           2.415
            1.36        ,           2.585
            1.38        ,            3.01
             1.4        ,           2.595
            1.42        ,            2.42
            1.44        ,            3.04
            1.46        ,           3.575
            1.48        ,           3.005
             1.5        ,           2.645
            1.52        ,            2.72
            1.54        ,            3.58
            1.56        ,            2.81
            1.58        ,           2.385
             1.6        ,            2.47
            1.62        ,           3.175
            1.64        ,            3.05
            1.66        ,            2.72
            1.68        ,           2.275
             1.7        ,           3.105
            1.72        ,           3.695
            1.74        ,            2.73
            1.76        ,           2.265
            1.78        ,            3.01
